RollVelocity , FinalVel2
0 , -nan
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
-1.29583e-11 , 0.0774175
-1.29583e-11 , 0.0774636
-1.29583e-11 , 0.0773547
-1.29583e-11 , 0.0774101
-1.29583e-11 , 0.0774562
-6.47914e-12 , 0.0773935
-6.47914e-12 , 0.0774322
-6.47914e-12 , 0.0774322
-6.47914e-12 , 0.0774415
-6.47914e-12 , 0.0775633
-3.23957e-12 , 0.0772698
-3.23957e-12 , 0.0774175
-3.23957e-12 , 0.0774876
-3.23957e-12 , 0.0773935
-3.23957e-12 , 0.0773935
-1.61978e-12 , 0.0774175
-1.61978e-12 , 0.0771628
-1.61978e-12 , 0.0778586
-1.61978e-12 , 0.0773399
-1.61978e-12 , 0.0773861
0.0458707 , 0.102555
0.0458707 , 0.102715
0.0458707 , 0.102566
0.0458707 , 0.102596
0.0458707 , 0.102601
0.0690562 , 0.110849
0.0690562 , 0.110791
0.0690562 , 0.110832
0.0690562 , 0.1108
0.0690562 , 0.110836
0.0805871 , 0.110361
0.0805871 , 0.110263
0.0805871 , 0.110354
0.0805871 , 0.11032
0.0805871 , 0.110325
0.101084 , 0.113473
0.101084 , 0.113449
0.101084 , 0.113487
0.101084 , 0.113486
0.101084 , 0.113473
0.112585 , 0.109908
0.112585 , 0.109905
0.112585 , 0.109901
0.112585 , 0.109912
0.112585 , 0.109902
0.118773 , 0.102319
0.118773 , 0.102418
0.118773 , 0.102312
0.118773 , 0.102344
0.118773 , 0.102424
0.104275 , 0.0823973
0.104275 , 0.0823269
0.104275 , 0.082448
0.104275 , 0.0823817
0.104275 , 0.0823952
0.113572 , 0.0771587
0.113572 , 0.0771699
0.113572 , 0.0771482
0.113572 , 0.077202
0.113572 , 0.0771847
0.102932 , 0.0600429
0.102932 , 0.0601032
0.102932 , 0.0600777
0.102932 , 0.0600429
0.102932 , 0.0601339
0.0827914 , 0.0389254
0.0827914 , 0.0389358
0.0827914 , 0.0389348
0.0827914 , 0.038917
0.0827914 , 0.0388647
0.0714792 , 0.0244019
0.0714792 , 0.024302
0.0714792 , 0.0245153
0.0714792 , 0.0243727
0.0714792 , 0.0241762
0.0510549 , 0.0062597
0.0510549 , 0.00609452
0.0510549 , 0.00600765
0.0510549 , 0.00608058
0.0510549 , 0.00606235
0.04089 , -0.00462529
0.04089 , -0.00464806
0.04089 , -0.00447895
0.04089 , -0.00462963
0.04089 , -0.00453857
0.0343455 , -0.01248
0.0343455 , -0.0125459
0.0343455 , -0.0125325
0.0343455 , -0.01249
0.0343455 , -0.0125504
0.0171728 , -0.0253798
0.0171728 , -0.0254194
0.0171728 , -0.0254011
0.0171728 , -0.0252835
0.0171728 , -0.0253677
0.00858638 , -0.031798
0.00858638 , -0.0319886
0.00858638 , -0.0316324
0.00858638 , -0.0317258
0.00858638 , -0.0318827
0.00429319 , -0.0349744
0.00429319 , -0.034951
0.00429319 , -0.0351468
0.00429319 , -0.0348246
0.00429319 , -0.0350138
0.0021466 , -0.0368123
0.0021466 , -0.0364484
0.0021466 , -0.0365611
0.0021466 , -0.0365999
0.0021466 , -0.0366996
0.0010733 , -0.0373761
0.0010733 , -0.037433
0.0010733 , -0.0374642
0.0010733 , -0.0373248
0.0010733 , -0.0373871
0.000536649 , -0.0379002
0.000536649 , -0.0377265
0.000536649 , -0.037912
0.000536649 , -0.0377731
0.000536649 , -0.0378691
0.000268324 , -0.0380122
0.000268324 , -0.0380003
0.000268324 , -0.037993
0.000268324 , -0.0379091
0.000268324 , -0.03815
-0.0151959 , -0.0465266
-0.0151959 , -0.0465147
-0.0151959 , -0.0464833
-0.0151959 , -0.0465079
-0.0151959 , -0.0465647
0.00809432 , -0.0321785
0.00809432 , -0.0321459
0.00809432 , -0.032191
0.00809432 , -0.0320778
0.00809432 , -0.0322716
-0.0112678 , -0.0436236
-0.0112678 , -0.0435727
-0.0112678 , -0.043585
-0.0112678 , -0.0435558
-0.0112678 , -0.0436182
-0.00563392 , -0.0393228
-0.00563392 , -0.0394009
-0.00563392 , -0.0394178
-0.00563392 , -0.0393164
-0.00563392 , -0.0394049
-0.0181565 , -0.045845
-0.0181565 , -0.0456611
-0.0181565 , -0.0457268
-0.0181565 , -0.0457353
-0.0181565 , -0.0456421
-0.0390435 , -0.0552126
-0.0390435 , -0.0552709
-0.0390435 , -0.0552354
-0.0390435 , -0.0552354
-0.0390435 , -0.0552597
-0.035282 , -0.0494378
-0.035282 , -0.0493147
-0.035282 , -0.049387
-0.035282 , -0.0494109
-0.035282 , -0.0494055
-0.0482137 , -0.0529764
-0.0482137 , -0.0529694
-0.0482137 , -0.0529822
-0.0482137 , -0.0529565
-0.0482137 , -0.0529883
-0.0394746 , -0.0433967
-0.0394746 , -0.0433892
-0.0394746 , -0.0434022
-0.0394746 , -0.0433892
-0.0394746 , -0.0434025
-0.035357 , -0.0372709
-0.035357 , -0.0372734
-0.035357 , -0.0372728
-0.035357 , -0.0372643
-0.035357 , -0.0372782
-0.0327554 , -0.0322823
-0.0327554 , -0.0322834
-0.0327554 , -0.032283
-0.0327554 , -0.0322831
-0.0327554 , -0.0322836
-0.0319993 , -0.0286683
-0.0319993 , -0.0286754
-0.0319993 , -0.0286792
-0.0319993 , -0.0286777
-0.0319993 , -0.0286777
-0.0302759 , -0.0243202
-0.0302759 , -0.0243451
-0.0302759 , -0.0243296
-0.0302759 , -0.0243605
-0.0302759 , -0.0243373
-0.0151379 , -0.0130206
-0.0151379 , -0.013021
-0.0151379 , -0.0130223
-0.0151379 , -0.013018
-0.0151379 , -0.0130166
-0.0232033 , -0.0160173
-0.0232033 , -0.0159966
-0.0232033 , -0.015982
-0.0232033 , -0.0160382
-0.0232033 , -0.0160074
-0.0116017 , -0.00733668
-0.0116017 , -0.00732854
-0.0116017 , -0.00732762
-0.0116017 , -0.00733108
-0.0116017 , -0.00733068
-0.00580084 , -0.00299165
-0.00580084 , -0.00299138
-0.00580084 , -0.002995
-0.00580084 , -0.00299225
-0.00580084 , -0.00298797
-0.00290042 , -0.000821294
-0.00290042 , -0.000824217
-0.00290042 , -0.000822136
-0.00290042 , -0.000823573
-0.00290042 , -0.000823177
-0.00145021 , 0.000263968
-0.00145021 , 0.000261763
