RollVelocity , FinalVel2
0 , -nan
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
-5.31861e-12 , 0.0317753
-5.31861e-12 , 0.0317496
-5.31861e-12 , 0.0318837
-5.31861e-12 , 0.0316322
-5.31861e-12 , 0.0318799
-2.6593e-12 , 0.0317465
-2.6593e-12 , 0.0318549
-2.6593e-12 , 0.0317465
-2.6593e-12 , 0.0316481
-2.6593e-12 , 0.0319087
-1.32965e-12 , 0.0316859
-1.32965e-12 , 0.0317822
-1.32965e-12 , 0.0317715
-1.32965e-12 , 0.0317662
-1.32965e-12 , 0.0317746
-6.64826e-13 , 0.031817
-6.64826e-13 , 0.0318859
-6.64826e-13 , 0.031636
-6.64826e-13 , 0.0318034
-6.64826e-13 , 0.0317981
0.0306919 , 0.0486784
0.0306919 , 0.0486549
0.0306919 , 0.0486228
0.0306919 , 0.0486356
0.0306919 , 0.0486947
0.0306993 , 0.0456
0.0306993 , 0.0456107
0.0306993 , 0.0456018
0.0306993 , 0.0456256
0.0306993 , 0.0456164
0.0447041 , 0.04999
0.0447041 , 0.0500238
0.0447041 , 0.0499789
0.0447041 , 0.0500021
0.0447041 , 0.0500032
0.0520948 , 0.0494365
0.0520948 , 0.049446
0.0520948 , 0.0494433
0.0520948 , 0.0494431
0.0520948 , 0.0494441
0.0422615 , 0.0390452
0.0422615 , 0.0390497
0.0422615 , 0.0390397
0.0422615 , 0.0390513
0.0422615 , 0.0390397
0.0526708 , 0.0407523
0.0526708 , 0.0407224
0.0526708 , 0.0407679
0.0526708 , 0.0407463
0.0526708 , 0.0407474
0.0412649 , 0.0291802
0.0412649 , 0.0291474
0.0412649 , 0.0291609
0.0412649 , 0.0292007
0.0412649 , 0.0291546
0.035889 , 0.0220937
0.035889 , 0.022113
0.035889 , 0.0221088
0.035889 , 0.0220759
0.035889 , 0.0221571
0.032993 , 0.0168535
0.032993 , 0.0169034
0.032993 , 0.0169548
0.032993 , 0.0168788
0.032993 , 0.016847
0.0164965 , 0.00456941
0.0164965 , 0.00456002
0.0164965 , 0.00455006
0.0164965 , 0.00454095
0.0164965 , 0.00458364
0.0235437 , 0.00681765
0.0235437 , 0.00680726
0.0235437 , 0.00675214
0.0235437 , 0.00665346
0.0235437 , 0.00688117
0.0117719 , -0.00201572
0.0117719 , -0.00199599
0.0117719 , -0.00199764
0.0117719 , -0.00202525
0.0117719 , -0.00204037
0.00588593 , -0.00641618
0.00588593 , -0.00641119
0.00588593 , -0.00641765
0.00588593 , -0.00641618
0.00588593 , -0.0064197
0.00294297 , -0.00862837
0.00294297 , -0.0086609
0.00294297 , -0.00858425
0.00294297 , -0.00861899
0.00294297 , -0.00864932
0.00147148 , -0.0097062
0.00147148 , -0.00972435
0.00147148 , -0.00971554
0.00147148 , -0.00973449
0.00147148 , -0.00973556
0.000735741 , -0.0102713
0.000735741 , -0.0102702
0.000735741 , -0.0102671
0.000735741 , -0.0103099
0.000735741 , -0.010245
0.000367871 , -0.0105499
0.000367871 , -0.0105413
0.000367871 , -0.0105574
0.000367871 , -0.0105587
0.000367871 , -0.0105444
0.000183935 , -0.0106841
0.000183935 , -0.0106833
0.000183935 , -0.0106929
0.000183935 , -0.0106841
0.000183935 , -0.0106895
9.19677e-05 , -0.0107531
9.19677e-05 , -0.0107606
9.19677e-05 , -0.0108028
9.19677e-05 , -0.010741
9.19677e-05 , -0.0107542
4.59838e-05 , -0.0107679
4.59838e-05 , -0.0108025
4.59838e-05 , -0.0107614
4.59838e-05 , -0.0108015
4.59838e-05 , -0.0108134
2.29919e-05 , -0.0108122
2.29919e-05 , -0.0108132
2.29919e-05 , -0.0107959
2.29919e-05 , -0.0108285
2.29919e-05 , -0.0107699
1.1496e-05 , -0.0108131
1.1496e-05 , -0.0108218
1.1496e-05 , -0.0108598
1.1496e-05 , -0.0108035
1.1496e-05 , -0.0108087
5.74798e-06 , -0.0108274
5.74798e-06 , -0.0108076
5.74798e-06 , -0.0108045
5.74798e-06 , -0.0108468
5.74798e-06 , -0.0108109
2.87399e-06 , -0.0108014
2.87399e-06 , -0.0108693
2.87399e-06 , -0.010772
2.87399e-06 , -0.0108218
2.87399e-06 , -0.0108737
1.43699e-06 , -0.0107775
1.43699e-06 , -0.0108521
1.43699e-06 , -0.0107979
1.43699e-06 , -0.0108154
1.43699e-06 , -0.0108281
7.18497e-07 , -0.0108322
7.18497e-07 , -0.0108167
7.18497e-07 , -0.0108193
7.18497e-07 , -0.0108936
7.18497e-07 , -0.0107662
3.59249e-07 , -0.0108485
3.59249e-07 , -0.0108227
3.59249e-07 , -0.0107987
3.59249e-07 , -0.0108268
3.59249e-07 , -0.010826
1.79624e-07 , -0.0108476
1.79624e-07 , -0.0108249
1.79624e-07 , -0.0108053
1.79624e-07 , -0.0108347
1.79624e-07 , -0.010812
8.98122e-08 , -0.0108324
8.98122e-08 , -0.0108087
8.98122e-08 , -0.0108293
8.98122e-08 , -0.0108283
8.98122e-08 , -0.0108216
4.49061e-08 , -0.0108423
4.49061e-08 , -0.0108229
4.49061e-08 , -0.0108141
4.49061e-08 , -0.0108456
4.49061e-08 , -0.0107979
2.2453e-08 , -0.0108836
2.2453e-08 , -0.0107969
2.2453e-08 , -0.0108358
2.2453e-08 , -0.0108033
2.2453e-08 , -0.0108033
1.12265e-08 , -0.0108833
1.12265e-08 , -0.0107806
1.12265e-08 , -0.0108588
1.12265e-08 , -0.0107793
1.12265e-08 , -0.0108294
5.61326e-09 , -0.0108359
5.61326e-09 , -0.0108359
5.61326e-09 , -0.0108121
5.61326e-09 , -0.0108098
5.61326e-09 , -0.0108521
2.80663e-09 , -0.0108067
2.80663e-09 , -0.0108402
2.80663e-09 , -0.0108217
2.80663e-09 , -0.0108057
2.80663e-09 , -0.0108908
1.40332e-09 , -0.0108077
1.40332e-09 , -0.0108131
1.40332e-09 , -0.0108284
1.40332e-09 , -0.0108196
1.40332e-09 , -0.0108488
7.01658e-10 , -0.0107742
7.01658e-10 , -0.0108284
7.01658e-10 , -0.0108206
7.01658e-10 , -0.0108328
7.01658e-10 , -0.0108488
3.50829e-10 , -0.0108108
3.50829e-10 , -0.0108304
3.50829e-10 , -0.0108088
3.50829e-10 , -0.0108253
3.50829e-10 , -0.0108444
1.75414e-10 , -0.0108088
